patent_id,section,cpc_class,cpc_subclass
3937641,Y,Y10,Y10S
3991640,Y,Y10,Y10T
4054307,Y,Y10,Y10S
4098644,Y,Y02,Y02E
4103706,Y,Y10,Y10S
4151580,H,H05,H05K
4179839,H,H03,H03K
4187149,C,C12,C12M
4240349,Y,Y10,Y10T
4247082,F,F15,F15B
4358667,H,H05,H05B
4407288,A,A61,A61N
4424567,G,G07,G07G
4437146,Y,Y02,Y02B
4476835,F,F02,F02M
4485762,G,G01,G01F
4537559,Y,Y10,Y10S
4598736,Y,Y10,Y10T
4628226,H,H01,H01J
4679978,B,B60,B60P
4682871,G,G03,G03B
4684648,C,C07,C07D
4807844,Y,Y10,Y10S
4817026,G,G01,G01G
4832520,B,B42,B42F
4838706,G,G01,G01N
4845765,G,G06,G06V
4861705,Y,Y10,Y10S
4888855,A,A22,A22B
4906002,A,A63,A63B
4965445,G,G01,G01D
5194238,C,C01,C01B
5200322,Y,Y10,Y10S
5308932,G,G07,G07B
5334580,Y,Y10,Y10S
5338089,Y,Y10,Y10S
5339587,Y,Y10,Y10T
5339861,Y,Y10,Y10T
5345127,F,F16,F16C
5403060,B,B60,B60J
5409950,Y,Y10,Y10S
5610637,B,B41,B41J
5665589,G,G01,G01N
5680456,H,H04,H04L
5718501,F,F24,F24C
5741585,Y,Y10,Y10T
5764137,B,B60,B60C
5790611,H,H04,H04L
5794018,H,H04,H04Q
5797129,G,G06,G06Q
5824551,G,G01,G01N
5911054,G,G06,G06F
5912915,H,H01,H01S
5927813,B,B60,B60N
5952138,G,G03,G03G
5974591,A,A62,A62B
6007129,B,B60,B60R
6050698,B,B25,B25B
6080421,A,A61,A61K
6084413,G,G01,G01V
6102861,Y,Y10,Y10S
6187996,C,C12,C12N
6196414,B,B23,B23P
6208740,H,H04,H04B
6221291,Y,Y10,Y10S
6265909,H,H03,H03K
6304133,H,H03,H03H
6323012,A,A61,A61P
6387399,C,C30,C30B
6402001,Y,Y10,Y10S
6415335,Y,Y10,Y10S
6485683,A,A62,A62B
6578211,A,A47,A47D
6614041,G,G01,G01N
6677763,G,G01,G01N
6680564,H,H01,H01J
6705906,F,F02,F02B
6717522,G,G09,G09F
6734119,H,H10,H10D
6754516,G,G08,G08B
6803523,H,H01,H01R
6816733,H,H04,H04M
6837279,D,D03,D03D
6845384,Y,Y10,Y10S
6860404,B,B65,B65D
6863772,H,H01,H01J
6877684,A,A47,A47J
6937607,H,H04,H04M
7002362,Y,Y10,Y10T
7061741,H,H01,H01F
7075698,G,G02,G02F
7136093,G,G06,G06F
7204661,F,F16,F16L
7206439,G,G06,G06T
7214461,G,G03,G03G
7238514,C,C12,C12Y
7241592,G,G01,G01N
7404756,H,H10,H10H
7461553,G,G02,G02B
7519292,H,H04,H04N
7539516,H,H04,H04W
7544424,Y,Y10,Y10T
7601574,H,H10,H10D
7645331,F,F28,F28F
7664915,G,G06,G06F
7677875,B,B29,B29C
7694961,B,B65,B65H
7725028,H,H04,H04N
7843395,G,G06,G06F
7855049,G,G01,G01N
7927051,F,F16,F16B
7942135,F,F02,F02M
8007928,C,C23,C23C
8028127,G,G06,G06F
8077682,H,H04,H04W
8143904,H,H01,H01L
8154900,G,G11,G11C
8153889,Y,Y10,Y10T
8185108,Y,Y02,Y02D
8203512,G,G09,G09G
8237842,G,G02,G02B
8270654,H,H04,H04R
8344965,G,G02,G02B
8380013,G,G16,G16H
8422004,G,G01,G01M
8445962,H,H10,H10F
8478793,Y,Y10,Y10S
8568499,Y,Y10,Y10T
8579539,Y,Y10,Y10T
8588032,G,G04,G04G
8590344,Y,Y02,Y02P
8601652,Y,Y10,Y10T
8615749,G,G06,G06F
8654262,H,H04,H04B
8688628,G,G06,G06F
8688505,G,G06,G06Q
8709434,A,A61,A61K
8725801,H,H04,H04L
8776064,G,G06,G06F
8788757,G,G06,G06F
8885562,H,H04,H04L
8883774,Y,Y02,Y02A
8884020,C,C07,C07D
8925287,A,A01,A01F
9001638,H,H04,H04J
9061726,B,B62,B62K
9134744,Y,Y02,Y02B
9131972,A,A61,A61B
9200930,G,G01,G01D
9230958,H,H10,H10D
9277686,H,H05,H05K
9336417,G,G06,G06K
9356471,H,H02,H02J
9408596,A,A61,A61B
9417524,G,G03,G03F
9428714,D,D06,D06M
9497004,H,H04,H04W
9552189,G,G06,G06F
9581321,F,F21,F21V
9629321,C,C12,C12N
9643042,A,A63,A63B
9652941,G,G07,G07F
9672145,G,G06,G06F
9712679,H,H04,H04M
9775958,G,G06,G06M
