patent_id,title,abstract,filing_date,year
3933242,Reed container,,1976-01-20,1976
3934677,Magnet for guiding lubricating head on a chain to be lubricated,,1976-01-27,1976
3934799,High-capacity steam heating system,,1976-01-27,1976
3937506,Door security pin,,1976-02-10,1976
3941652,Failed fuel detection for nuclear reactor,,1976-03-02,1976
3940937,Intensifier,,1976-03-02,1976
3941880,Method for use of 11-lower alkyl steroids,,1976-03-02,1976
3943701,Regulator and balance bridge arrangement for a horological device,,1976-03-16,1976
3945898,Method for coating metal surface with carbon,,1976-03-23,1976
3946582,Diestock for wiredrawing,,1976-03-30,1976
3948672,Permeable cement composition and method,,1976-04-06,1976
3955927,Trace lead analysis method,,1976-05-11,1976
3955483,Quick mounting means for grilles,,1976-05-11,1976
3958519,High temperature furnace construction and hangers therefor,,1976-05-25,1976
3961229,Two pair station protector,,1976-06-01,1976
3964214,Smoke stop,,1976-06-22,1976
RE28869,Cartridge magazine for power tools,,1976-06-22,1976
3964726,Bowling ball hole font,,1976-06-22,1976
3966116,Security box and receptacle housing for valuables,,1976-06-29,1976
3970160,Control means for electrically powered transportation means,,1976-07-20,1976
3971826,15-Substituted-.omega.-pentanorprostaglandins,,1976-07-27,1976
3972689,Method for vapor growing crystals,,1976-08-03,1976
3972858,Process for the preparation of choleragen,,1976-08-03,1976
3972305,Imaging system,,1976-08-03,1976
3974362,Flexitime recorder,,1976-08-10,1976
3973334,Eye-hand perceptual-motor training device,,1976-08-10,1976
3975768,Removable cartridge flexible disc memory apparatus,,1976-08-17,1976
3976994,Liquid crystal display system,,1976-08-24,1976
3976606,Adhesives tackified with low molecular weight terpene-phenolic resins,,1976-08-24,1976
3975776,Method for making elastic gloves,,1976-08-24,1976
3978468,Intercom call signaling mechanism,,1976-08-31,1976
3978341,Short wavelength ultraviolet irradiation treatment of polymeric surfaces,,1976-08-31,1976
3979416,Preparation of aminophthalic anhydrides,,1976-09-07,1976
3980968,Non-proportionate AFC system,,1976-09-14,1976
RE28967,Work locating apparatus,,1976-09-21,1976
3986016,Single chip magnetic bubble processor,,1976-10-12,1976
3987001,Ultraviolet protectorant composition,,1976-10-19,1976
3986369,Composite pile structure and method,,1976-10-19,1976
3988697,Glass laser discs with annular alkali lead borate coatings and uses thereof,,1976-10-26,1976
3993650,"Pyrrolo [3,4-d] pyrimidines",,1976-11-23,1976
3993463,Particle separator for turbine engines of aircraft,,1976-11-23,1976
3997241,Optical waveguide transmitting light wave energy in single mode,,1976-12-14,1976
3998056,Solar energy apparatus and method,,1976-12-21,1976
4000813,Article carrier,,1977-01-04,1977
4002527,"Solvent-distributed, powdered rubber in beater saturated sheets",,1977-01-11,1977
4003776,Method of fabricating a demountable rod,,1977-01-18,1977
4005630,Apparatus for separating a bullet from a cartridge case,,1977-02-01,1977
4006445,Apparatus for and methods of seismic prospecting,,1977-02-01,1977
4006560,Christmas tree stand,,1977-02-08,1977
4008094,"High durability, reinforcing fibers for cementitious materials",,1977-02-15,1977
4009942,Zoom lens device,,1977-03-01,1977
4010482,Non-volatile Schottky barrier diode memory cell,,1977-03-01,1977
D243599,Vehicle tire traction device,,1977-03-08,1977
4011878,"Process for permanently waving hair using a self-heating neutralizing composition containing a water-soluble sulfite, metabisulfite or bisulfite and H.sub.2 O.sub.2",,1977-03-15,1977
4013366,Method and apparatus for investigation of small displacements of a solid body by means of coherent light,,1977-03-22,1977
D243771,Computer or similar article,,1977-03-22,1977
