patent_id	assignee_sequence	assignee_id	disambig_assignee_individual_name_first	disambig_assignee_individual_name_last	disambig_assignee_organization	assignee_type	location_id
11000000	1	org:0015			Amazon Technologies, Inc.	2	loc-0491
11000001	1	org:0009			Sony Group Corporation	2	loc-0062
11000002	1	org:0018			General Electric Company	2	loc-0297
11000003	1	org:0022			NVIDIA Corporation	2	loc-0574
11000004	1	org:0026			Dell Products L.P.	2	loc-0092
11000005	1	org:0015			Amazon Technologies, Inc.	2	loc-0163
11000006	1	org:0009			Sony Group Corporation	2	loc-0441
11000007	1	org:0019			Siemens Aktiengesellschaft	2	loc-0520
11000008	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0570
11000009	1	org:0007			Google LLC	2	loc-0123
11000010	1	org:0004			Intel Corporation	2	loc-0174
11000011	1	org:0026			Dell Products L.P.	2	loc-0286
11000012	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0513
11000013	1	org:0031			Tesla, Inc.	2	loc-0007
11000014	1	org:0008			Qualcomm Incorporated	2	loc-0423
11000015	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0504
11000016	1	org:0029			SAP SE	2	loc-0316
11000017	1	org:0027			Cisco Technology, Inc.	2	loc-0150
11000018	1	org:0002			Canon Inc.	2	loc-0381
11000019	1	org:0012			Panasonic Holdings Corporation	2	loc-0001
11000020	1	org:0013			TSMC Limited	2	loc-0311
11000021	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0164
11000022	1	org:0007			Google LLC	2	loc-0025
11000023	1	org:0009			Sony Group Corporation	2	loc-0180
11000024	1	org:0023			Micron Technology, Inc.	2	loc-0065
11000025	1	org:0012			Panasonic Holdings Corporation	2	loc-0496
11000025	2	org:0002			Canon Inc.	2	loc-0147
11000026	1	org:0029			SAP SE	2	loc-0342
11000027	1	org:0027			Cisco Technology, Inc.	2	loc-0144
11000027	2	org:0019			Siemens Aktiengesellschaft	2	loc-0488
11000028	1	org:0030			ASML Netherlands B.V.	2	loc-0570
11000029	1	org:0010			Toyota Motor Corporation	2	loc-0473
11000030	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0180
11000031	1	org:0028			Oracle International Corporation	2	loc-0027
11000031	2	org:0005			Huawei Technologies Co., Ltd.	2	loc-0355
11000032	1	org:0017			Boeing Company, The	2	loc-0371
11000033	1	org:0010			Toyota Motor Corporation	2	loc-0027
11000034	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0278
11000035	1	org:0006			Apple Inc.	2	loc-0548
11000036	1	org:0020			Robert Bosch GmbH	2	loc-0383
11000037	1	org:0011			LG Electronics Inc.	2	loc-0033
11000038	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0469
11000039	1	org:0004			Intel Corporation	2	loc-0195
11000040	1	org:0010			Toyota Motor Corporation	2	loc-0000
11000041	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0063
11000042	1	org:0024			Hitachi, Ltd.	2	loc-0201
11000043	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0184
11000045	1	org:0030			ASML Netherlands B.V.	2	loc-0161
11000046	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0287
11000047	1	org:0000			International Business Machines Corporation	2	loc-0308
11000048	1	org:0004			Intel Corporation	2	loc-0382
11000049	1	org:0030			ASML Netherlands B.V.	2	loc-0595
11000050	1	org:0009			Sony Group Corporation	2	loc-0177
11000051	1	org:0013			TSMC Limited	2	loc-0459
11000052	1	org:0017			Boeing Company, The	2	loc-0005
11000053	1	org:0004			Intel Corporation	2	loc-0289
11000054	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0323
11000055	1	org:0019			Siemens Aktiengesellschaft	2	loc-0515
11000055	2	org:0011			LG Electronics Inc.	2	loc-0121
11000056	1	org:0017			Boeing Company, The	2	loc-0119
11000057	1	org:0008			Qualcomm Incorporated	2	loc-0161
11000058	1	org:0023			Micron Technology, Inc.	2	loc-0229
11000059	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0104
11000059	2	org:0002			Canon Inc.	2	loc-0195
11000060	1	org:0029			SAP SE	2	loc-0245
11000061	1	org:0013			TSMC Limited	2	loc-0000
11000061	2	org:0002			Canon Inc.	2	loc-0030
11000062	1	org:0029			SAP SE	2	loc-0149
11000063	1	org:0030			ASML Netherlands B.V.	2	loc-0165
11000064	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0235
11000064	2	org:0031			Tesla, Inc.	2	loc-0361
11000065	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0269
11000066	1	org:0022			NVIDIA Corporation	2	loc-0328
11000066	2	org:0027			Cisco Technology, Inc.	2	loc-0014
11000067	1	org:0031			Tesla, Inc.	2	loc-0347
11000068	1	org:0015			Amazon Technologies, Inc.	2	loc-0079
11000069	1	org:0018			General Electric Company	2	loc-0262
11000070	1	org:0018			General Electric Company	2	loc-0165
11000072	1	org:0027			Cisco Technology, Inc.	2	loc-0290
11000073	1	org:0006			Apple Inc.	2	loc-0027
