patent_id	inventor_id	location_id
11000000		loc-0142
11000000	fl:anika_ln:sato-00521	loc-0148
11000001	fl:santosh_ln:sharma-00094	loc-0084
11000001	fl:john_ln:martin-00310	loc-0036
11000001	fl:min_ln:smith-01194	loc-0144
11000001	fl:liam_ln:smith-00456	loc-0155
11000001	fl:alice_ln:kumar-00857	loc-0151
11000002	fl:alice_ln:garcia-00678	loc-0131
11000003	fl:emma_ln:kumar-01145	loc-0118
11000003	fl:liam_ln:garcia-00206	loc-0145
11000004	fl:alice_ln:gupta-00436	loc-0108
11000005	fl:hans_ln:sato-01189	loc-0191
11000005	fl:fatima_ln:rossi-01134	loc-0105
11000006	fl:chen_ln:kumar-00847	loc-0104
11000006	fl:noah_ln:dupont-01196	loc-0040
11000006	fl:rajesh_ln:park-01554	loc-0188
11000006	fl:priya_ln:johnson-00996	loc-0080
11000007	fl:rajesh_ln:zhang-00674	loc-0002
11000007	fl:kenji_ln:khan-00208	loc-0083
11000008	fl:oliver_ln:conti-01308	loc-0042
11000008	fl:santosh_ln:esposito-00979	loc-0102
11000009	fl:kenji_ln:li-01396	loc-0008
11000009	fl:amelia_ln:gupta-01505	loc-0122
11000010	fl:yuki_ln:tanaka-01307	loc-0148
11000010	fl:ahmed_ln:davis-00210	loc-0179
11000011	fl:oliver_ln:martin-01291	loc-0054
11000011	fl:hiroshi_ln:yamamoto-00784	loc-0055
11000012	fl:fatima_ln:patel-01204	loc-0114
11000012	fl:fatima_ln:martin-00518	loc-0082
11000012	fl:liam_ln:rodriguez-00912	loc-0079
11000013	fl:aisha_ln:sharma-00175	loc-0039
11000014	fl:fatima_ln:schmidt-01591	loc-0046
11000014	fl:oliver_ln:sato-00342	loc-0074
11000015	fl:sakura_ln:garcia-01174	loc-0010
11000015	fl:rajesh_ln:wilson-01235	loc-0192
11000015	fl:alice_ln:kumar-01467	loc-0183
11000015	fl:anika_ln:ali-00733	loc-0015
11000016	fl:min_ln:ali-00571	loc-0059
11000016	fl:ahmed_ln:ivanov-01199	loc-0081
11000017	fl:mohammed_ln:wilson-00069	loc-0094
11000017	fl:carlos_ln:zhang-00865	loc-0066
11000018	fl:giulia_ln:chen-01601	loc-0196
11000019	fl:greta_ln:yamamoto-00447	loc-0124
11000019	fl:amelia_ln:park-01463	loc-0185
11000019	fl:noah_ln:garcia-01472	loc-0065
11000020	fl:min_ln:schmidt-00347	loc-0103
11000020	fl:greta_ln:park-01256	loc-0151
11000020	fl:olivia_ln:rossi-01039	loc-0036
11000021	fl:hans_ln:tanaka-00060	loc-0043
11000021	fl:giulia_ln:ferrari-01262	loc-0163
11000022	fl:noah_ln:taylor-00422	loc-0134
11000023	fl:pierre_ln:ahmed-00252	loc-0104
11000023	fl:marco_ln:tanaka-00150	loc-0034
11000024	fl:luca_ln:garcia-00313	loc-0156
11000025	fl:hans_ln:yamamoto-01188	loc-0152
11000025	fl:natasha_ln:petrov-00161	loc-0022
11000026	fl:sofia_ln:tanaka-00609	loc-0049
11000027	fl:liu_ln:wang-00432	loc-0083
11000027	fl:amelia_ln:ivanov-00013	loc-0086
11000027	fl:ahmed_ln:sharma-00041	loc-0114
11000028	fl:sakura_ln:wilson-01695	loc-0064
11000028	fl:amelia_ln:khan-00486	loc-0037
11000029	fl:sakura_ln:conti-00860	loc-0018
11000029	fl:aisha_ln:kumar-00181	loc-0149
11000030	fl:seo-yun_ln:park-00846	loc-0040
11000030	fl:liu_ln:ferrari-01555	loc-0128
11000031	fl:aisha_ln:patel-00254	loc-0097
11000031	fl:kenji_ln:khan-00056	loc-0154
11000031	fl:ahmed_ln:dupont-01597	loc-0016
11000031	fl:greta_ln:ali-00039	loc-0010
11000032	fl:giulia_ln:chen-01601	loc-0181
11000033	fl:ahmed_ln:suzuki-00739	loc-0074
11000034	fl:yuki_ln:dupont-01223	loc-0158
11000034	fl:liam_ln:kumar-00585	loc-0045
11000034	fl:ahmed_ln:müller-01225	loc-0046
11000034	fl:luca_ln:hassan-00319	loc-0093
11000035	fl:kenji_ln:johnson-01764	loc-0180
11000035	fl:hiroshi_ln:patel-00948	loc-0140
11000035	fl:luca_ln:park-00491	loc-0016
11000036	fl:hiroshi_ln:park-01392	loc-0015
11000037	fl:seo-yun_ln:miller-00602	loc-0085
11000037	fl:isabella_ln:rossi-01659	loc-0144
11000037	fl:liu_ln:li-00584	loc-0151
11000038	fl:santosh_ln:yamamoto-01661	loc-0104
11000038	fl:isabella_ln:khan-00789	loc-0126
11000039	fl:alice_ln:wang-00441	loc-0005
11000040	fl:min_ln:tanaka-01124	loc-0173
11000040	fl:giulia_ln:brown-01730	loc-0018
11000040	fl:oliver_ln:rossi-00579	loc-0059
11000040	fl:liam_ln:kim-00217	loc-0115
11000040	fl:emma_ln:zhang-01538	loc-0144
11000041	fl:pierre_ln:wilson-00437	loc-0155
11000041	fl:amelia_ln:ivanov-00277	loc-0117
11000041	fl:mohammed_ln:kim-01600	loc-0004
11000041	fl:marco_ln:müller-00248	loc-0093
11000042	fl:seo-yun_ln:johnson-01103	loc-0101
11000043	fl:liu_ln:sharma-00378	loc-0128
11000044	fl:ivan_ln:hassan-00705	loc-0005
11000045	fl:anika_ln:conti-00029	loc-0065
11000045	fl:chen_ln:park-01159	loc-0158
11000046	fl:hans_ln:müller-00109	loc-0050
11000047	fl:oliver_ln:rodriguez-01059	loc-0035
11000047	fl:kenji_ln:ferrari-01665	loc-0168
11000047	fl:liu_ln:tanaka-01429	loc-0188
11000048	fl:mohammed_ln:suzuki-01337	loc-0127
11000049	fl:ivan_ln:ivanov-00648	loc-0058
11000050	fl:kenji_ln:wang-00269	loc-0138
11000050	fl:santosh_ln:martin-00233	loc-0155
11000050	fl:santosh_ln:wang-01758	loc-0028
11000050	fl:luca_ln:ahmed-00756	loc-0182
11000051	fl:greta_ln:dupont-00273	loc-0136
11000051	fl:sakura_ln:zhang-00053	loc-0023
11000051	fl:fatima_ln:wilson-00093	loc-0095
11000052	fl:mohammed_ln:park-00614	loc-0124
11000052	fl:mohammed_ln:park-00800	loc-0027
11000052	fl:priya_ln:brown-00010	loc-0053
11000052	fl:hiroshi_ln:ali-00304	loc-0076
11000053	fl:priya_ln:wang-00546	loc-0074
11000053	fl:seo-yun_ln:tanaka-01621	loc-0052
11000053	fl:jin_ln:sharma-00220	loc-0018
11000054	fl:oliver_ln:miller-00055	loc-0074
11000054	fl:john_ln:anderson-00564	loc-0140
11000055	fl:min_ln:yamamoto-00281	loc-0128
11000056	fl:sakura_ln:smith-01567	loc-0151
11000056	fl:carlos_ln:tanaka-01418	loc-0093
11000056	fl:olivia_ln:zhang-00164	loc-0106
11000057	fl:wei_ln:chen-01192	loc-0009
11000057	fl:sakura_ln:zhang-00976	loc-0191
11000057	fl:olivia_ln:martin-00198	loc-0091
11000058	fl:amelia_ln:li-00969	loc-0068
11000059	fl:kenji_ln:miller-01100	loc-0109
11000059	fl:yuki_ln:suzuki-01366	loc-0130
11000060	fl:camille_ln:johnson-00289	loc-0154
11000061	fl:kenji_ln:wang-00211	loc-0115
11000061	fl:john_ln:müller-00981	loc-0065
11000061	fl:carlos_ln:patel-00203	loc-0046
11000061	fl:pierre_ln:conti-00490	loc-0033
11000061	fl:chen_ln:ivanov-00340	loc-0009
