inventor_id,inventor_name,country,patent_count
fl:sh_ln:yamazaki-55,Shunpei Yamazaki,JP,6761
fl:ki_ln:silverbrook-1,Kia Silverbrook,AU,4778
fl:ta_ln:luo-5,Tao Luo,US,4336
fl:jo_ln:ive-4,Jonathan P. Ive,US,2877
fl:ka_ln:cheng-90,Kangguo Cheng,US,2819
fl:ju_ln:li-39,Junyi Li,US,2789
fl:fr_ln:shelton-6,"Frederick E. Shelton, IV",US,2670
fl:pe_ln:gaal-1,Peter Gaal,US,2504
fl:du_ln:kerr-1,Duncan Robert Kerr,US,2466
fl:ba_ln:andre-6,Bartley K. Andre,US,2412
fl:ri_ln:howarth-2,Richard P. Howarth,US,2332
fl:wa_ln:chen-94,Wanshi Chen,US,2308
fl:eu_ln:whang-8,Eugene Antony Whang,US,2181
fl:xi_ln:zhang-214,Xiaoxia Zhang,US,2070
fl:lo_ln:wood-12,"Lowell L. Wood, JR.",US,1974
fl:ri_ln:zorkendorfer-1,Rico Zörkendörfer,US,1962
fl:ch_ln:yu-101,Chen-Hua Yu,TW,1958
fl:pe_ln:russellclarke-2,Peter Russell-Clarke,US,1944
fl:ch_ln:stringer-5,Christopher J. Stringer,US,1899
fl:ro_ln:hyde-1,Roderick A. Hyde,US,1893
